
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	. CAPE_PWM_0, 455, 115, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_1, 455, 115, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z19_CAPE_0, 455, 115, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2_0, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z20_2_0, 389, 104, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_1, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	.	. CAPE_PWM_2, 454, 165, 254, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_0, 454, 165, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z19_0, 454, 165, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_0, 1, 5, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z20_0, 389, 73, 60, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1, 64, 87, 146, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_CAPE, 0, 192, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAPB3_Z16, 0, 192, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAPB3_MUXPTOB3_1, 0, 190, 0, 0, 0, 0, 0, 0, 0
.	.	. P8_GPIO_UPPER, 256, 335, 80, 0, 0, 0, 0, 0, 16
.	.	.	. CoreGPIO_P8_UPPER, 256, 335, 80, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P8_UPPER_CoreGPIO_P8_UPPER_0_CoreGPIO_Z17, 256, 335, 80, 0, 0, 0, 0, 0, 0
.	.	. P9_GPIO, 266, 348, 80, 0, 0, 0, 0, 0, 7
.	.	.	. CoreGPIO_P9, 266, 348, 80, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P9_CoreGPIO_P9_0_CoreGPIO_Z18, 266, 348, 80, 0, 0, 0, 0, 0, 0
.	.	. cape_regs, 398, 283, 271, 0, 0, 0, 0, 0, 0
.	.	.	. apb_ctrl_status, 64, 36, 0, 0, 0, 0, 0, 0, 0
.	.	.	. pixel_proc, 334, 232, 271, 0, 0, 0, 0, 0, 0
.	. CLOCKS_AND_RESETS, 33, 1, 0, 0, 0, 0, 0, 7, 0
.	.	. CORERESET_0, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_3, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CORERESET_3, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. FPGA_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. FPGA_CCC_C0_FPGA_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSCILLATOR_160MHz, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. OSCILLATOR_160MHz_OSCILLATOR_160MHz_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_ADC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. PF_CCC_ADC_PF_CCC_ADC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
