Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM (20K),Chip Globals,PLL
CAPE_inst_0/PWM_2/corepwm_C1_0/corepwm_C1_0/genblk6.corepwm_pwm_gen/Primitives,112,2,0,0,0,0,0,0,0
CAPE_inst_0/Primitives,0,0,0,0,4,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/IntrConvertor_loop[0].initrconv/genblk3.rgsl/raddrch_rs_en.arrs/Primitives,36,66,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/IntrConvertor_loop[0].initrconv/genblk3.rgsl/rdatach_rs_en.rrs/Primitives,52,98,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/IntrConvertor_loop[1].initrconv/genblk3.rgsl/rdatach_rs_en.rrs/Primitives,2,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/genblk2.trgtProtConv/genblk1.u_TrgtAxi4ReadID/Primitives,4,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/genblk2.trgtProtConv/genblk1.u_TrgtAxi4ReadID/genblk1.genblk1.rdata_interleave_fifo/fifo_ctrl_inst/Primitives,9,8,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/genblk2.trgtProtConv/genblk1.u_TrgtAxi4ReadID/genblk1.genblk1.rdata_interleave_fifo/genblk1[0].ram/Primitives,1,1,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/rgsl/raddrch_rs_en.arrs/Primitives,37,68,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/rgsl/rdatach_rs_en.rrs/Primitives,53,100,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[0].trgtcnv/rgsl/wrdata_rs_en.wrs/Primitives,12,18,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/TrgtConvertor_loop[1].trgtcnv/rgsl/raddrch_rs_en.arrs/Primitives,2,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/arst_aclk_sync/Primitives,0,3,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/Primitives,6,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[0].addr_ctrl_rs/wrch_rs_en.awrs/Primitives,38,70,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[0].intrctrl/depck/Primitives,1,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[0].intrctrl/depck/genblk1[0].u_InitrAdrDec/Primitives,1,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[0].intrctrl/depck/genblk1[1].u_InitrAdrDec/Primitives,1,0,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[0].intrctrl/trnscon/Primitives,1,1,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/intrctrlBlk[1].addr_ctrl_rs/wrch_rs_en.awrs/Primitives,2,2,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/rrArb.rrArb/Primitives,9,8,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/arcon/trgmx/Primitives,59,48,0,0,0,0,0,0,0
CAPE_inst_0/XBAR_0/CAPE_AXI_XBAR_0/gen_cb_en.axicb/awcon/Primitives,6,2,0,0,0,0,0,0,0
